CESIUM STATISTICS1							
U.S. GEOLOGICAL SURVEY							
[All values are in metric tons (t) cesium content unless otherwise noted]							
Last modification: April 1, 2014							
Year	Production	Imports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1959	NA	NA	NA	NA	2230000	12500000	NA
1960	NA	NA	NA	NA	1190000	6550000	NA
1961	NA	NA	45	NA	830000	4520000	11
1962	NA	NA	45	NA	830000	4470000	20
1963	NA	0.18	NA	0.18	520000	2770000	NA
1964	NA	0.917	NA	0.917	520000	2730000	NA
1965	0	0.392	NA	0.392	580000	3000000	NA
1966	0	0	NA	0	580000	2910000	NA
1967	0	1.1	NA	1.1	580000	2830000	NA
1968	0	1.41	NA	1.41	580000	2720000	NA
1969	0	2.42	NA	2.42	520000	2310000	NA
1970	0	2.33	NA	2.33	520000	2180000	NA
1971	0	1.93	NA	1.93	520000	2090000	91
1972	0	5.46	NA	5.46	520000	2030000	318
1973	0	1.43	NA	1.43	520000	1910000	249
1974	0	2.1	NA	2.1	520000	1720000	NA
1975	0	1.43	NA	1.43	520000	1580000	73
1976	0	2.04	NA	2.04	520000	1490000	73
1977	0	5.21	NA	5.21	660000	1780000	18
1978	0	6.04	NA	6.04	580000	1450000	NA
1979	0	10.5	NA	10.5	500000	1120000	NA
1980	0	5.36	NA	5.36	500000	989000	NA
1981	0	11.1	NA	11.1	500000	896000	NA
1982	0	7.55	NA	7.55	660000	1110000	NA
1983	0	8.72	NA	8.72	660000	1080000	NA
1984	0	24.3	NA	24.3	660000	1040000	NA
1985	0	22.9	NA	22.9	720000	1090000	NA
1986	0	17	NA	17	720000	1070000	NA
1987	0	19.3	NA	19.3	660000	947000	NA
1988	0	22.6	NA	22.6	660000	910000	NA
1989	0	NA	NA	NA	690000	907000	NA
1990	0	NA	NA	NA	690000	861000	NA
1991	0	NA	NA	NA	690000	826000	NA
1992	0	NA	NA	NA	38500000	44700000	NA
1993	0	NA	NA	NA	38500000	43400000	NA
1994	0	NA	NA	NA	38500000	42300000	NA
1995	0	NA	NA	NA	40800000	43600000	NA
1996	0	NA	NA	NA	40800000	42400000	NA
1997	0	NA	NA	NA	43700000	44400000	NA
1998	0	NA	NA	NA	63300000	63300000	NA
1999	0	NA	NA	NA	63300000	61900000	NA
2000	0	NA	NA	NA	63300000	59900000	NA
2001	0	NA	NA	NA	50000000	46000000	NA
2002	0	NA	NA	NA	50000000	45300000	NA
2003	0	NA	NA	NA	52000000	46100000	NA
2004	0	NA	NA	NA	54300000	46900000	NA
2005	0	NA	NA	NA	54300000	45300000	NA
2006	0	NA	NA	NA	55900000	45200000	NA
2007	0	NA	NA	NA	55900000	44000000	NA
2008	0	NA	NA	NA	58400000	44200000	NA
2009	0	NA	NA	NA	62800000	47700000	NA
2010	0	NA	NA	NA	64000000	47800000	NA
2011	0	NA	NA	NA	65900000	47800000	NA
2012	0	NA	NA	NA	68200000	48400000	NA
NA Not available.							
1Compiled by T.D. Kelly (retired), W.E. Brooks, D.E. Polyak, M.A. Angulo, and C.A. Tuck.							
Data are calculated, estimated, or reported.  See notes for more information.							
