TANTALUM STATISTICS1											
U.S. GEOLOGICAL SURVEY											
[All values are in metric tons (t) tantalum content unless otherwise noted]											
Last modification:April 1, 2014											
Year	Mine production	Secondary production	Producer shipments	Government shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1964	0	23	NA	184	353	54	1790	231	17500	92100	NA
1965	0	32	NA	75	385	57	1870	352	20900	108000	NA
1966	W	45	NA	251	608	59	2090	632	35000	176000	NA
1967	W	50	405	260	955	64	2310	785	27600	135000	NA
1968	W	41	362	0	558	95	2090	472	17500	82200	NA
1969	W	16	446	98	360	104	1950	586	19200	85300	388
1970	0	11	507	73	440	106	2300	410	19200	80700	318
1971	0	14	436	3	464	91	2150	536	17500	70400	496
1972	0	18	494	40	525	113	1930	690	15200	59300	371
1973	0	18	682	121	566	146	1810	682	21500	78900	384
1974	0	23	762	401	785	197	1910	906	37700	125000	436
1975	0	2	392	39	423	194	2080	100	43100	131000	411
1976	0	23	589	4	594	201	1900	602	47500	136000	339
1977	0	20	646	0	933	244	1860	670	66300	178000	409
1978	0	25	687	0	639	275	1740	505	106000	265000	362
1979	0	23	771	0	868	327	1250	653	249000	559000	476
1980	W	55	685	0	1030	320	1480	538	284000	562000	544
1981	W	43	447	0	717	101	1570	572	101000	181000	403
1982	W	40	400	-15	493	154	1450	481	60600	102000	284
1983	0	18	461	0	94	119	NA	536	79400	130000	313
1984	0	59	582	0	330	174	NA	762	86100	135000	315
1985	0	41	461	-115	119	145	NA	363	61200	92700	315
1986	0	34	462	0	148	142	NA	372	58500	87000	215
1987	0	57	506	0	127	171	NA	381	70000	100000	275
1988	0	59	523	0	239	256	NA	422	135000	186000	292
1989	NA	54	372	0	536	195	NA	376	72700	95600	395
1990	NA	54	NA	0	320	200	NA	390	88800	111000	396
1991	NA	50	NA	0	359	180	NA	370	76000	91000	477
1992	NA	55	NA	0	434	150	NA	375	78100	90700	399
1993	0	60	NA	0	457	170	NA	410	70000	79000	292
1994	0	85	NA	0	383	190	NA	430	70700	77800	333
1995	0	100	NA	0	481	220	NA	515	74700	79900	361
1996	0	100	NA	34	563	290	NA	524	74700	77600	436
1997	0	115	NA	20	467	340	NA	570	88800	90200	562
1998	0	148	NA	213	588	440	NA	738	91400	91400	779
1999	0	110	NA	5	564	480	NA	555	91400	89400	656
2000	0	130	NA	242	900	530	NA	650	591000	559000	1070
2001	0	110	NA	-53	1160	640	NA	550	99500	91600	1180
2002	0	100	NA	16	1040	510	NA	500	80500	82000	1340
2003	0	NA	NA	335.82847315	957.472396112	618.979935805	NA	674.32036018	80200	71100	1390
2004	0	NA	NA	126.89428827	1540	984.132155769	NA	679.06974381	80000	66400	1430
2005	0	NA	NA	210.445554757	1630	983.531206334	NA	851.828508057	94000	75800	1380
2006	0	NA	NA	289	1160	949	NA	498	87500	70700	859
2007	0	NA	NA	0	1160	511	NA	644	100000	78700	1060
2008	0	NA	NA	0	1290	662	NA	629	118000	89200	1500
2009	0	NA	NA	0	798	326	NA	473	108000	82200	984
2010	0	NA	NA	0	1600	438	NA	1160	146000	109000	594
2011	0	NA	NA	0	1850	648	NA	1210	336000	244000	552
2012	0	NA	NA	0	1010	577	NA	437	292000	207000	670
NA Not available. W Withheld to avoid disclosing company proprietary data.											
1Compiled by D.A. Buckingham (retired), L.D. Cunningham (retired), M.J. Magyar, and J.F. Papp.											
Data are calculated, estimated, or reported.  See notes for more information.											
